datetime,pid,date,segment,countscans,countscansmostuniquedevice,uniquedevices
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,100.0,90.0,13.0
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,74.0,1.0,4.0
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,61.0,11.0,9.0
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,48.0,40.0,3.0
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,86.0,90.0,3.0
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,81.0,1.0,8.0
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,61.0,11.0,1.0
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,36.0,40.0,1.0
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,66.0,90.0,1.0
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,56.0,1.0,1.0
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,62.0,11.0,4.0
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,48.0,40.0,1.0
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,91.0,90.0,26.0
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,87.0,1.0,6.0
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,51.0,11.0,1.0
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,36.0,40.0,1.0
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,93.0,90.0,8.0
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,115.0,1.0,1.0
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,46.0,11.0,2.0
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,40.0,40.0,1.0
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,61.0,90.0,2.0
2021-04-03 11:59:59,INS-W_1005,2021-04-03,afternoon,90.0,1.0,3.0
2021-04-03 17:59:59,INS-W_1005,2021-04-03,evening,48.0,11.0,5.0
2021-04-03 23:59:59,INS-W_1005,2021-04-03,night,40.0,40.0,1.0
2021-04-04 05:59:59,INS-W_1005,2021-04-04,morning,56.0,90.0,6.0
2021-04-04 11:59:59,INS-W_1005,2021-04-04,afternoon,99.0,1.0,6.0
2021-04-04 17:59:59,INS-W_1005,2021-04-04,evening,55.0,11.0,1.0
2021-04-04 23:59:59,INS-W_1005,2021-04-04,night,44.0,40.0,1.0
2021-04-05 05:59:59,INS-W_1005,2021-04-05,morning,86.0,90.0,2.0
2021-04-05 11:59:59,INS-W_1005,2021-04-05,afternoon,129.0,1.0,24.0
2021-04-05 17:59:59,INS-W_1005,2021-04-05,evening,84.0,11.0,8.0
2021-04-05 23:59:59,INS-W_1005,2021-04-05,night,42.0,40.0,2.0
2021-04-06 05:59:59,INS-W_1005,2021-04-06,morning,69.0,90.0,12.0
2021-04-06 11:59:59,INS-W_1005,2021-04-06,afternoon,95.0,1.0,3.0
2021-04-06 17:59:59,INS-W_1005,2021-04-06,evening,55.0,11.0,10.0
2021-04-06 23:59:59,INS-W_1005,2021-04-06,night,48.0,40.0,1.0
2021-04-07 05:59:59,INS-W_1005,2021-04-07,morning,69.0,90.0,6.0
2021-04-07 11:59:59,INS-W_1005,2021-04-07,afternoon,95.0,1.0,7.0
2021-04-07 17:59:59,INS-W_1005,2021-04-07,evening,97.0,11.0,1.0
2021-04-07 23:59:59,INS-W_1005,2021-04-07,night,38.0,40.0,1.0
2021-04-08 05:59:59,INS-W_1005,2021-04-08,morning,63.0,90.0,9.0
2021-04-08 11:59:59,INS-W_1005,2021-04-08,afternoon,105.0,1.0,2.0
2021-04-08 17:59:59,INS-W_1005,2021-04-08,evening,67.0,11.0,4.0
2021-04-08 23:59:59,INS-W_1005,2021-04-08,night,39.0,40.0,1.0
