pid,date,segment,countepisodesedentarybout,sumsteps,datetime
INS-W_1036,2021-03-29,afternoon,,,2021-03-29 11:59:59
INS-W_1036,2021-03-29,evening,,,2021-03-29 17:59:59
INS-W_1036,2021-03-29,morning,,,2021-03-29 05:59:59
INS-W_1036,2021-03-29,night,,,2021-03-29 23:59:59
INS-W_1036,2021-03-30,afternoon,,,2021-03-30 11:59:59
INS-W_1036,2021-03-30,evening,,,2021-03-30 17:59:59
INS-W_1036,2021-03-30,morning,,,2021-03-30 05:59:59
INS-W_1036,2021-03-30,night,,,2021-03-30 23:59:59
INS-W_1036,2021-03-31,afternoon,1.0,0.0,2021-03-31 11:59:59
INS-W_1036,2021-03-31,evening,14.0,588.0,2021-03-31 17:59:59
INS-W_1036,2021-03-31,morning,1.0,0.0,2021-03-31 05:59:59
INS-W_1036,2021-03-31,night,1.0,0.0,2021-03-31 23:59:59
INS-W_1036,2021-04-01,afternoon,35.0,4340.0,2021-04-01 11:59:59
INS-W_1036,2021-04-01,evening,12.0,396.0,2021-04-01 17:59:59
INS-W_1036,2021-04-01,morning,3.0,93.0,2021-04-01 05:59:59
INS-W_1036,2021-04-01,night,28.0,8079.0,2021-04-01 23:59:59
INS-W_1036,2021-04-02,afternoon,20.0,1548.0,2021-04-02 11:59:59
INS-W_1036,2021-04-02,evening,11.0,844.0,2021-04-02 17:59:59
INS-W_1036,2021-04-02,morning,2.0,67.0,2021-04-02 05:59:59
INS-W_1036,2021-04-02,night,9.0,213.0,2021-04-02 23:59:59
INS-W_1036,2021-04-03,afternoon,16.0,7007.0,2021-04-03 11:59:59
INS-W_1036,2021-04-03,evening,34.0,2366.0,2021-04-03 17:59:59
INS-W_1036,2021-04-03,morning,8.0,213.0,2021-04-03 05:59:59
INS-W_1036,2021-04-03,night,6.0,211.0,2021-04-03 23:59:59
INS-W_1036,2021-04-04,afternoon,31.0,9782.0,2021-04-04 11:59:59
INS-W_1036,2021-04-04,evening,30.0,1342.0,2021-04-04 17:59:59
INS-W_1036,2021-04-04,morning,10.0,1070.0,2021-04-04 05:59:59
INS-W_1036,2021-04-04,night,5.0,171.0,2021-04-04 23:59:59
INS-W_1036,2021-04-05,afternoon,22.0,6141.0,2021-04-05 11:59:59
INS-W_1036,2021-04-05,evening,18.0,4328.0,2021-04-05 17:59:59
INS-W_1036,2021-04-05,morning,12.0,373.0,2021-04-05 05:59:59
